"1-к. квартира, 44,9 м², 17/20 эт.",6500000,р-н Центральный,44.9,144766,1,кирпичный,20,17, сдан
"4-к. квартира, 122 м², 1/8 эт.",6070500,р-н Зареченский,122,49758,4,блочный,8,1, сдан
"2-к. квартира, 79,2 м², 2/9 эт.",6769035,р-н Зареченский,79.2,85468,2,монолитный,9,2, сдан
"2-к. квартира, 76 м², 1/9 эт.",6700000,р-н Зареченский,76,88158,2,кирпичный,9,1, сдан
"2-к. квартира, 80,2 м², 3/9 эт.",6856245,р-н Зареченский,80.2,85489,2,кирпичный,9,3, сдан
"Своб. планировка, 108,3 м², 8/9 эт.",18080000,р-н Советский,108.3,166944,111,монолитный,9,8, сдан
"1-к. квартира, 39 м², 7/15 эт.",4490000,р-н Привокзальный,39,115128,1,кирпичный,15,7, сдан
"1-к. квартира, 46,2 м², 2/14 эт.",3696000,р-н Центральный,46.2,80000,1,монолитный,14,2, 4 кв. 2024 года
"1-к. квартира, 27 м², 14/25 эт.",2700000,р-н Привокзальный,27,100000,1,монолитный,25,14, 4 кв. 2024 года
"1-к. квартира, 45,8 м², 14/14 эт.",3650000,р-н Центральный,45.8,79694,1,монолитный,14,14, 4 кв. 2024 года
"2-к. квартира, 61,1 м², 6/14 эт.",5100000,р-н Центральный,61.1,83470,2,кирпичный,14,6, 4 кв. 2024 года
"3-к. квартира, 90,2 м², 6/14 эт.",6765000,р-н Центральный,90.2,75000,3,кирпичный,14,6, 4 кв. 2024 года
"1-к. квартира, 34,1 м², 8/8 эт.",3399000,р-н Пролетарский,34.1,99677,1,монолитно-кирпичный,8,8, 4 кв. 2023 года
"2-к. квартира, 58,3 м², 5/8 эт.",4956000,р-н Пролетарский,58.3,85009,2,монолитно-кирпичный,8,5, 4 кв. 2023 года
"3-к. квартира, 123 м², 7/16 эт.",18800000,р-н Советский,123,152846,3,монолитно-кирпичный,16,7, 4 кв. 2022 года
"1-к. квартира, 53,2 м², 2/16 эт.",8450000,р-н Советский,53.2,158835,1,кирпичный,16,2, 4 кв. 2022 года
